NAME|TYPE|START_YEAR|END_YEAR|DESCRIPTION
Liberty Seated|Half Dollar|1839|1891|Christian Gobrecht's Seated Liberty design was adopted for U!!S!! silver dollars in 1836; in 1839, the half dollar became the last silver denomination to use it. The coin's obverse features a full portrait of Lady Liberty seated on a stone, with a heraldic shield marked \"Liberty\" in her right hand and a pole with a liberty cap on the top in her left. The reverse depicts an eagle similar to that on earlier half dollars.^^^^Seated Liberty half dollars were issued from 1839 to 1891 and went through several variations over this time period. The first change came late in 1839, when an extra piece of drapery was added to Lady Liberty's left elbow; half dollars without this extra drapery are rare. In 1842, the coin changed again when the letters on its reverse were increased in size.^^^^An even bigger change was introduced in 1853. Because of the sudden increase in the supply of gold thanks to the California Gold Rush, the price of silver compared to that of gold rose dramatically—gold was now less scarce and less valuable. As a result, more and more people were hoarding silver coins and melting them down because their silver content was now worth more than the face value of the coin itself. America faced a shortage of change as coins disappeared from circulation.^^^^To combat this trend, Mint Director George N!! Eckert proposed a plan that Congress passed on February 21, 1853. This action reduced the weight of half dollars from 206 ¼ grains to 192 grains: if the coins were lighter (and had less silver), their precious metal content would not be worth more than their face value, which would discourage the hoarding of coins and their destruction.^^^^To indicate the reduced metal content without having to design a new coin, the Mint added two arrows around the date on the obverse, plus rays around the eagle on the reverse. These rays were discontinued in 1854 because the design took too long and cost too much to mint; the arrows were discontinued in 1855. In 1856, half dollars returned to their original Seated Liberty design but maintained their new lighter weight.^^^^A decade later, in 1866, Congress added the motto \"In God We Trust\" to the reverse in a ribbon above the eagle. This motto first appeared two years earlier on two-cent coins as a result of increased religious fervor during the Civil War, and it would become more and more common on U!!S!! coins as the years passed.^^^^In 1873 and 1874, Seated Liberty coins again included arrows around the obverse date, this time to indicate an increase in weight from 192 grains to 192!!9 grains. Rays were not added. From 1875 to 1891, the Mint returned to the variation introduced in 1866. In 1892, Charles Barber's new half dollar coin design replaced Gobrecht's Seated Liberty.

Barber or Liberty Head|Half Dollar|1892|1915|Like the dime and quarter dollar, this type was designed by Charles E!! Barber, whose initial B is on the truncation of the neck.

Liberty Walking|Half Dollar|1916|1947|This type was designed by Adolph A!! Weinman, whose monogram, AW, appears under the tip of the tail feathers. On the 1916 coins and some of the 1917 coins, the mintmark is located on the obvertse below the motto.

Franklin|Half Dollar|1948|1963|The Benjamin Franklin half dollar and the Roosevelt dime were both designed by John R!! Simmock. His initials appear below the shoulder.

Kennedy|Half Dollar|1964|0|Gilroy Roberts, then chief engraver of the Mint, designed the obverse of this coin. His stylized initials are on the truncation of the forceful bust of President John F!! Kennedy. The reverse, which uses the eagle from the presidential seal for the motif, is the work of assistant engraver Frank Gasparro.



Draped Bust|Quarter|1796|1807|The first quarter dollars struck in the United States were the Draped Bust Quarters. This series was produced with two distinctive reverse designs, creating two rare and important subtypes. The first of these was struck in a single year in 1796, also representing the first year for the denomination. Following a gap in production, the second reverse design was used from 1804 until the conclusion of the series in 1807. Only a limited number of coins were produced during the brief duration of the series, with both the 1796 and 1804 dates being rarities. The remaining dates of 1805, 1806, and 1807 are a bit more available, but far from common.^^^^The Draped Bust Quarter had been introduced four years after the Mint Act of 1792 and three years after the first coins were struck under the Act. This was the result of the limited demand for the denomination within the American monetary system at the time. For everyday commerce, the quarter dollar was just a little too large, as most transactions were conducted in cents and other small denominations. Silver depositors, who requested their metal to be struck into federal coinage at the Mint, usually requested larger denominations, which were more convenient. Most transactions between banks and companies were conducted in larger denominations as well.^^^^The first quarter dollars were designed by Robert Scot, who is also credited with the designs of other early American coins.  The silver denominations introduced in 1794 and 1795 featured the head of Liberty with flowing hair. The quarter dollars introduced in 1796 featured what was seen as an improvement to that design.  The full bust of Liberty is depicted, older in appearance and facing right. Her hair is still flowing, but closer to her neck and loosely bound by a ribbon. The portrait is surrounded by fifteen stars, representing each of the states in the Union at the time. The date, slightly curved, is near the bottom, along the rim.^^^^The original reverse of the Draped Bust Quarter featured the same design that had been introduced on the half dollars and silver dollars of 1794. An eagle appears with wings spread, placed within a field free from other parts of the design. A wreath surrounds, with UNITED STATES OF AMERICA around the periphery of the coin. No denomination is given, as was the case with all other early American coins. The only possibility to make the distinction between the various denominations was through the size of the coin, and in some instances the edge.^^^^Production of the first reverse type occurred for only a single year in 1796. Further minting of the denomination did not occur until 1804, when a different reverse design was introduced. The obverse was not altered, except for the number of stars, which was reduced to thirteen. The new reverse, designed by Robert Scot, was completely different in appearance than the original.^^^^An eagle was still featured in the central part of the design, no longer in natural state, but rather in heraldic form. A large shield is placed in front of the eagle, with an olive branch in one claw and a bundle of arrows in the other. Thirteen stars appear above the eagle’s head, and a ribbon is held in the eagle’s beak with the inscription E PLURIBUS UNUM. A number of clouds appear above the stars, and inscriptions UNITED STATES OF AMERICA and 25 C. surround the image.

Capped Bust|Quarter|1815|1838|The quarter denomination saw the resumption of production following an eight year hiatus with the Capped Bust Quarter series. The design was notably different from the early quarter dollars, which had been struck in limited quantities. Although mintages for the new series were more plentiful, it can still be a challenge for collectors to find examples in mint state grades. In 1831, the diameter of the denomination was reduced and the design was slightly altered, creating two subtypes for the series.^^^^The quarter dollar denomination, first struck in 1796, was one which had fallen out of order in the early 19th century. For everyday use, it was considered to be too large, as most business was conducted with cents and half cents. For financial transactions, banks preferred to request half dollars from the Mint, which represented the largest denomination in production during the 1810′s. The final issue of the previous quarter dollar series was struck in 1807, and the denomination was not produced again until after the conclusion of the War of 1812, which had created a great shortage of coinage in the country.^^^^The design for the Capped Bust Quarter was created by German immigrant John Reich, who had been hired as an assistant to Robert Scot. It was Reich’s first task in 1807 to redesign circulating coinage, however the quarter would have to wait 1815 for the new design to be introduced. The obverse features a familiar bust of Liberty, facing left. She is wearing a cap, often referred to as a Phrygian or Freedom Cap, with a band inscribed with the word LIBERTY. On both sides are stars, seven left and six right, representing the original thirteen states. The date appears below, slightly curved.^^^^The reverse features a design which would be found on circulating coins into the late 19th century. A bald eagle with wings spread is seen at the center, with a bundle of arrows and an olive branch in its claws. On the eagle’s breast is a large shield, with horizontal and vertical lines. A scroll is included above with the inscription E PLURIBUS UNUM. Starting closely above the eagle’s right wing is the inscription UNITED STATES OF AMERICA, which ends next to the other wing. The denomination is found below, expressed as 25 C. This represented the first time the value was indicated on the quarter dollar denomination.^^^^The Capped Bust Quarter featuring the original design was struck from 1815 to 1828. After a hiatus in production of three years, a modified design would be introduced in 1831. The coins were smaller in diameter, with details more finely executed and smaller dentils around the edge of the coin. The most notable change was the removal of the scroll bearing the E PLURIBUS UNUM motto on the reverse of the coin. These design changes were made by William Kneass, successor to Scot as the Chief Engraver at the Mint. The design changes also coincided with the relocation of the Mint to a new building and the acquisition of improved machinery.^^^^Without doubt, the earlier type Capped Bust Quarters are the scarcer type of the two, and all rarities are within that series. Uncirculated examples of the earlier type are very scarce, while examples from the 1830′s can be found with some searching.^^^^Proof versions of the coins exist, with the first examples struck in 1820. Production of proofs was irregular, often not recorded, and they are now of the greatest rarity. Offerings are seldom and the status of some are disputed, so careful examination is recommended.

Liberty Seated|Quarter|1838|1891|In 1835, when it was time for the U!!S!! Mint’s new engraver, Christian Gobrecht, to redesign the quarter and other coins, he chose to seat Lady Liberty on a rock. In her left hand, he placed a pole topped by a Liberty cap, a symbol during that era of freedom. Leaning against the rock and steadied by her right hand, Gobrecht placed a shield emblazoned with the word \"Liberty\" in capital letters.^^^^A similar shield, but without the word, crowned the breast of an eagle on the coin’s reverse. Below the eagle was the abbreviation \"QUAR!! DOL!!\"^^^^Seated Liberty Quarters featured the same design as the half dimes, dimes, half dollars, and dollars of the mid-19th century. The dollars came first in 1836, with the quarters following in 1838. Decades later, the Seated Liberty design even appeared on the short-lived (1875-1878) twenty-cent piece.^^^^Almost half a million coins were struck in 1838 when the new quarter debuted. The Seated Liberty coins were considered an aesthetic and technical improvement on the Bust quarters that preceded them, but officials at the mint couldn’t leave well enough alone.

Barber or Liberty Head|Quarter|1892|1916|The Barber Quarter was introduced in 1892, after more than five decades of use for the previous Seated Liberty motif. The new deign featuring the head of Liberty on the obverse would be adopted for the dime, quarter, and half dollar. The series of Barber Quarters, minted continuously from 1892 until 1916, consists of 74 circulation strike issues and an additional 24 proof issues for all years up to 1915. With the exception of three rare issues, the series is very collectible, although much overlooked until recent times.^^^^The story of the Barber Quarter began in 1887, when Mint director James B!! Kimball included a short request within his annual report to alter the circulating coin designs. The public had become tired of them, and many considered the Liberty Seated design to be of inferior quality, especially for a nation as grand as the United States. Nothing happened until 1890, when the Treasury Department contacted ten prominent artists for the purpose of designing new silver coinage. The cost to hire one of these artists far exceeded what the Treasury Department was willing to spend, and the idea was soon abandoned.^^^^Eventually, new designs for the three smallest silver denomination would be created by the Chief Engraver of the Mint, Charles E!! Barber. Both he and Assistant Engraver George T!! Morgan had wanted to create the designs, and the competition between the two men which had started many years earlier continued here as well. According to some people, there are still similarities between the two designers, as Breen put it in his Encyclopedia in his typical language:^^^^“Barber’s new obverse was a mirror image of the Morgan dollar head, with most of Ms!! Anna Witless Williams cropped off and the rest modestly concealed within her enlarged cap.”^^^^The design of the Barber Quarter, which was submitted in October of 1891, features a bust of Liberty on the obverse, facing right. She is wearing a Phrygian cap, with the word LIBERTY on the hair band. IN GOD WE TRUST is above the head with the date beneath the truncation of the neck and the designers initial “B” on the truncation. There are 13 stars representing the original states are surrounding the image, configured six to the left and seven to the right.^^^^On the reverse of the coin is the image of an eagle with its wings spread, holding arrows in one claw and an olive branch in the other. A scroll within its beak contains the motto E PLURIBUS UNUM. Above the eagle are another 13 stars, and inscriptions UNITED STATES OF AMERICA and the denomination QUARTER DOLLAR are around. The first year of the series, 1892, had dies made from two different reverse hubs. The first has the Eagle’s left wing covering only half of the “E” in UNITED. The second variety has the wing covering most of the letter. In 1900 a new obverse hub was introduced, and in 1901 a new reverse hub was introduced as well, but few collectors have noticed this change and it is not often mentioned in literature.

Standing Liberty|Quarter|1916|1930|The Standing Liberty quarter was a 25-cent coin struck by the United States Mint from 1916 to 1930. It succeeded the Barber quarter, which had been minted since 1892. Featuring the goddess of Liberty on one side and an eagle in flight on the other, the coin was designed by sculptor Hermon Atkins MacNeil.^^^^In 1915, Director of the Mint Robert W!! Woolley, set in motion efforts to replace the Barber dime, quarter, and half dollar, as he mistakenly believed that the law required new designs. MacNeil submitted a militaristic design that showed Liberty on guard against attacks. The Mint required modifications to the initial design, and MacNeil's revised version included dolphins to represent the oceans. In late 1916, Mint officials made major changes to the design without consulting MacNeil. The sculptor complained about the changes after receiving the new issue in January 1917. The Mint obtained special legislation to allow MacNeil to redesign the coin as he desired. One change made by the sculptor was the addition of a chain mail vest that covered Liberty's formerly bare breast.^^^^In circulation, the coin's date wore away quickly, and Mint engravers modified the design to address the issue in 1925. The Standing Liberty quarter was discontinued in 1931, a year in which no quarters were struck, when Congress passed an act that placed George Washington's profile on the quarter to celebrate the 1932 bicentennial of his birth.

Washington|Quarter|1932|0|The Washington quarter is the present quarter dollar or 25-cent piece issued by the United States Mint. The coin was first struck in 1932; the original version was designed by sculptor John Flanagan.^^^^As the United States prepared to celebrate the 1932 bicentennial of the birth of its first president, George Washington, members of the bicentennial committee established by Congress sought a Washington half dollar. They wanted to displace for that year only the regular issue Walking Liberty half dollar; instead Congress permanently replaced the Standing Liberty quarter, requiring that a depiction of Washington appear on the obverse of the new coin. The committee had engaged sculptor Laura Gardin Fraser to design a commemorative medal, and wanted her to adapt her design for the quarter. Although Fraser's work was supported by the Commission of Fine Arts and its chairman, Charles W!! Moore, Treasury Secretary Andrew W. Mellon chose a design by Flanagan, and Mellon's successor, Ogden L!! Mills, refused to disturb the decision.^^^^The new silver quarters entered circulation on August 1, 1932; they were struck in that metal until the Mint transitioned to copper-nickel clad coinage in 1965. A special reverse commemorating the United States Bicentennial was used in 1975 and 1976, with all pieces bearing the double date 1776–1976; there are no 1975-dated quarters. Since 1999, the original eagle reverse has not been used; instead that side of the quarter has commemorated the 50 states, the nation's other jurisdictions, and National Park Service sites—the last as part of the America the Beautiful Quarters series, which will continue until 2021. The bust of Washington was made smaller beginning in 1999; in 2010 it was restored to bring out greater detail.


Liberty Seated|Twenty-Cent Piece|1875|1878|Business-strike issues of the twenty-cent pieces were only produced for two years, 1875 and 1876. The denomination continued for two years after business strike production halted, through 1878, with Proof-only issues struck at the Philadelphia Mint.^^^^The U!!S!! Mint used Christian Gobrecht’s Liberty Seated design for the obverse on twenty-cent pieces, although there are pattern examples known. The reverse of this denomination features a standing eagle, similar in design to the one used on the U!!S!! Trade dollar. The eagle lacks the scrollwork found on examples of Liberty Seated quarters, half dollars, and dollars.^^^^The most famous and the rarest twenty-cent piece is the one issued at the Carson City Mint in 1876.


Draped Bust|Dime|1796|1807|The dime was one of the last denominations introduced in the United States, although the coins would hold an important place within the monetary system. The first type was known as the Draped Bust Dime, which carried the so-called small eagle reverse in 1796 and 1797 before adopting the heraldic eagle reverse from 1798 until the conclusion of the series in 1807. Ranging in rarity from very scarce to extremely rare, these early dimes are not easily obtainable, particularly in problem free condition.^^^^As Walter Breen mentions in his Encyclopedia, dimes were of great importance to the \"crucial test of whether the federal coinage system would be fully decimalized as Congress intended\". With a value of one tenth of a dollar, the coins would be the cornerstone of the American decimal system signed into law by the Coinage Act of 1792. This act called for a dime (or disme, the usual spelling at the time) weighing 41!!6 grains and struck in standard silver, defined as 1485 parts pure silver to 179 parts copper. The design was required to contain an image emblematic of Liberty on the obverse and an eagle on the reverse.^^^^The obverse of the Draped Bust Dime features a bust of Liberty, facing right. The image of Liberty is identified by some as Ann Wiling Bingham of Philadelphia, although this identification is disputed and unconfirmed. As the name implies, Liberty's bust is draped, while her hair is tied together with a ribbon. The word LIBERTY is above her head, and a number of stars are placed to the left and right. On the 1796 issue, there are fifteen stars. Two different star varieties exist for the 1797 issue, one with sixteen stars (following the admission of Tennessee to the Union) and the other with thirteen stars. It was decided that the Mint could not add stars indefinitely for every State that joined the Union, so the number was set at thirteen to represent the original thirteen states. All later issues of this type would only future thirteen obverse stars.^^^^The first reverse, used only in 1796 and 1797, was a modification of an earlier design that had been employed on the flowing hair design, used on various denominations in 1794 and 1795. A small eagle, with its wings spread is seen in the center, enclosed by an olive wreath. Two small ribbons are seen near the bottom of the design. The eagle appears to be standing on some clouds. The only other design feature that can be seen on this type is UNITED STATES OF AMERICA, starting to the left of the ribbons and ending to the right. This design would soon be replaced, and this type is now considered to be the most difficult type to acquire within the dime series, with a total mintage of less than 50,000 coins.^^^^The new reverse for the Draped Bust Dime was also designed by Scot, and was also introduced on the other silver denominations of same period. It features a heraldic eagle, viewed from the front, with a large shield at its breast. In the eagle’s beck is a ribbon, inscribed with E PLURIBUS UNUM. Above the eagle’s head is a cluster and clouds, and between the clouds and the eagle are thirteen stars. Some interesting varieties of 1798 and 1804 have a different count of stars, but this does not appear to have been done intentionally. Near the bottom of the design, the eagle’s claw grasp a bundle of arrows and an olive branch. The only design feature that remained from the small eagle reverse is UNITED STATES OF AMERICA. On either of the two varieties there is no indication of the denomination.^^^^Robert Scot, the first engraver at the Philadelphia Mint, created the Draped Bust design based on the work of portraitist Gilbert Stuart. This design was used across early copper and silver coinage issued during the era.

Capped Bust|Dime|1809|1837|Dimes were not produced in 1808, but production resumed in 1809, with a new design known as the Capped Bust Dime. A similar design had first been introduced in 1807 on the half dollar and was slowly placed on the other denominations, one at the time. The design would be struck in two different varieties, from 1809 to 1828 with large dentils and a wide border, and from 1828 to 1837 with smaller dentils, among other minor design modifications. This was the result of more modern machinery at the Mint, which was introduced shortly before the modifications were made.^^^^The first dimes, or ten-cent pieces, had been struck in 1796, two years after the first silver coins were produced by the US Mint in Philadelphia. Mintages in the late 18th and early 19th century were small but growing, and by 1807, the largest annual mintage up to that point had been produced at 165,000 pieces. No dimes would be struck in 1808, but production of the denomination resumed in 1809. The previous Draped Bust design was replaced by the so-called Capped Bust design by John Reich, a German immigrant who had been hired as assistant engraver to Robert Scot.^^^^The obverse design of the Capped Bust Dime featured a bust of Liberty, facing left. She is wearing a cap, usually mentioned in literature as a Phrygian or Freedom Cap, a symbol used in the Revolutionary War and dating back to the ancient Greece. The symbol had become popular again in France in the 18th century and would continue to be featured on coins of the United States well into the 19th century. The inscription LIBERTY is seen on a headband which is placed on the cap. Thirteen stars, representing the original thirteen states in the Union are seen, arranged seven left and six right. The date, slightly curved as usual, is seen under the truncation of the bust which features a small part of Liberty’s dress.^^^^The reverse featured the same design as used in common on the larger denominations throughout the 19th century. An American Eagle is seen, with its wings spread and a large shield at its breast. The eagle holds a bundle of arrows and an olive branch in its claws. On a scroll, placed above the eagle’s head is the motto E PLURIBUS UNUM. Starting at the left of the eagle’s right wingtip is UNITED STATES OF AMERICA, which ends to the right of the other wingtip. Finally, the denomination, as 10 C!! is seen at the base, representing the first time the denomination was inscribed on the ten cent piece.^^^^This design would essentially remain the same until 1837, although major modifications took place in 1828. William Kneass, who had been the successor of Scot and joined the Mint’s team in 1805, modified the design after modern machinery had been installed at the Mint. The size of the dime was slightly reduced, some minor modifications to the design were employed, and the dentils were decreased in size. As a result, the Capped Bust Dimes of the second variety are more standardized, usually of higher quality, and were struck in larger quantities. This modified design would be struck for ten years, until replaced by the Seated Liberty design by Christian Gobrecht, which would be seen on this denomination for most of the remaining years of the 19th century.

Liberty Seated|Dime|1837|1891|From the earliest days of the United States Mint, uniformity had been sought within coinage designs. For the first several decades in operation, this goal had been met with variable success. While most designs were fairly similar, small differences were often noted and because of the rapid pace of design changes, the uniformity was often short lived. The first true success in attaining this goal came in the 1830’s when Christian Gobrecht created the Liberty Seated design for use on silver coinage from the half dime to silver dollar. His design was based on a sketch prepared by Thomas Sully, which depicted Liberty seated on a rock, drawing inspiration from the depiction of Britannia on contemporary British coins. The Liberty Seated Dimes featuring this design range from common to ultra rarities and have become a series with a large and growing number of devoted collectors.^^^^The original obverse design for the series featured an image of Liberty seated on a rock, looking over her left shoulder and behind. In one hand she holds a pole with a Phyrigian or Freedom cap on top of it, while the other hand rests on a shield with the inscription LIBERTY on a scroll. The reverse design featured  a wreath of laurel tied with a bow at the base. The inscription UNITED STATES OF AMERICA appears around and the denomination ONE DIME is within. The obverse design was previously used on silver dollars dated 1836 and would remain in use in somewhat modified form until the early 1890′s.^^^^After the first year of production for the Liberty Seated Dime, the first design modification would occur. Thirteen stars, representing the original thirteen states, were added to the obverse. The new design would be introduced in Philadelphia in 1838, where both large and small star varieties exist. In 1839, the stars were also added to the obverse dies that were being sent to the New Orleans Mint, the only branch mint producing silver coinage at the time.^^^^In 1840, another design change occurred, in order to improve the production quality of these coins. The most noticeable change was the addition of drapery at Liberty’s elbow, although other small alterations were made to the obverse. This design would remain in use until 1853.^^^^Proofs of these two varieties are sometimes available, but very rare (especially of the no-drapery type of 1838-1840), in virtually all grades. For some years, no Proof strikings are known to exist, while for other years only a few undisputed Proofs have been verified. Proof dimes dated 1838 to 1841 are represented by only a single example, the latter which even in circulated condition.^^^^At this point in the series, the silver content was reduced, a measure which was meant to improve circulation of silver coinage. To denote the change in weight, arrows were placed to either side of the date. Coins were struck with arrows in 1853, 1854 and 1855, representing an important subtype of the Liberty Seated dime series. Proofs were also struck of this variety and like the 1837 no stars Proof, are very important as type coins for advanced collectors, while they are rare as well regardless of the date.^^^^In 1856, the previous design was resumed and struck until 1860. That year, the Philadelphia Mint introduced another design change for the Liberty Seated Dime. Although the seated figure of Liberty remained on the obverse, most other aspects were redesigned by James Barton Longacre. On the obverse, the previously present thirteen stars were removed and replaced with the inscription UNITED STATES OF AMERICA. The reverse design was completely redesigned, with the previous laurel wreath with an agricultural wreath. The denomination, ONE DIME was still inscribed at center, but in a  taller font. In both 1859 and 1860 fantasy pieces were produced, struck using the obverse die of the previous type. While these are not official mint issues, they are popular with collectors since the pieces curiously do not list the name of the country from which they are issued.^^^^One more design change occurred in 1873, when arrows were once again placed to either side of the date. This time the arrows signified a slight increase in weight, following another adjustment to the silver content of the coins.^^^^Proofs of these two varieties, legend obverse dimes were specifically produced for collectors in reasonable quantities, and most dates are more or less easily acquired. In business strike condition some issues are major rarities, such as those from the Carson City Mint dated 1871-1874, with one of the most famous being the unique 1873-CC No Arrows Dime, the sole survivor from an original mintage of 12,400 coins struck before the change of weight was authorized. Other dates are readily available in all grades, up to the gem level, although some intensive searching might be required to find problem-free examples with good-eye appeal.

Barber or Liberty Head|Dime|1892|1916|This type was designed by Charles E!! Barber, chief engraver of the Mint. His initial B is at the truncation of the neck. He also designed the quarters and half dollars of this same period.

Winged Liberty Head or Mercury|Dime|1916|1945|Although this coin is commonly called the Mercury dime, the main device is in fact a representation of Liberty. The wings crowning her cap are intended to symbolize liberty of thought. The designer's monogram AW is at the right of the neck.

Roosevelt|Dime|1946|0|John R!! Sinnock (whose initials, JS, are at the truncation of the neck) designed this dime showing a portrait of Franklin D!! Roosevelt. The design has heavier lettering and a more modernistic character than preceding types.



Flowing Hair|Half Dime|1794|1795|The Flowing Hair Half Dime is found with only two dates, which were actually both struck in a single year. These pieces were the smallest silver coins authorized by the Mint Act of 1792. The coins were first produced in February or March 1795, from dies dated 1794.^^^^Examples are mostly encountered in lower grades with various problems, while high grade specimens with original surfaces are extremely rare. Despite their rarity, these coins are not as expensive as the larger denominations, although this does not mean that they are easily found in any condition. The Flowing Hair Half Dime represents an important type coin and one of the more difficult coins to acquire for an advanced type set.^^^^The half dimes feature Robert Scot’s Flowing Hair design on the obverse, paired with an eagle surrounded by a wreath on the reverse. The edge of the coin was reeded, and the coin carried no indication of the denomination.^^^^This site provides a basic history of the series, description of the design, information on the mintage, specifications, and the details of the two years of release for this important series.

Draped Bust|Half Dime|1796|1805|The second type for half dimes, the lowest silver denomination authorized by the Mint Act of 1792, was the Draped Bust Half Dime. The series is divided into two different subtypes, identified by the reverse design. The first subtype was produced in 1796 and 1797, and portrays a small eagle on the reverse. The second, introduced in 1800 and struck until 1805, portrays a large heraldic eagle on the reverse.^^^^The obverse design for the entire series features the bust of Liberty, designed by Robert Scot. The image is said to have been proposed by Gilbert Stuart and based on Philadelphia resident Ann Willing Bingham. While this statement is accepted as fact by some, others consider it to simply be numismatic rumor. The image of Liberty is facing right with hair lightly bound in a ribbon. Her bust visible and partially draped, hence the name given to the design. The inscription \"LIBERTY\" appears above and the date below. The design is completed by stars representing states in the Union, either fifteen in number (1795, 1796 and some 1797 varieties), sixteen (some 1797 varieties after Tennessee was admitted as the 16th state to the Union) or thirteen (a minority of 1797 dated half dimes).^^^^The so-called \"small eagle\" reverse issued from 1796-1797 features an eagle viewed from the front, in a somewhat natural state, inside a wreath bound with a ribbon at the bottom. The only other design feature is the inscription \"UNITED STATES OF AMERICA\", which runs in a circle from the bottom left, around to the bottom right of the coin. No denomination is expressed, a feature on much of the early American coinage.^^^^Production of Draped Bust Half Dimes would be halted in 1797 and not resumed until 1800. In the meantime, the small eagle reverse had been replaced on the other silver denominations, so it was also altered when the production of half dimes resumed. The so-called \"heraldic eagle\" reverse featured an eagle which was more stylistic and less natural in appearance. A large shield is placed at the eagle’s breast and a ribbon in its beak, with the inscription \"E PLURIBUS UNUM\". In one claw there is a bundle of arrows, and in the other is an olive branch. A cluster of clouds is placed above the eagle, with an arrangement of thirteen small stars between the clouds and the eagle. The inscription \"UNITED STATES OF AMERICA\" surrounds the image.^^^^Many different varieties exist throughout the Draped Bust Half Dime series, both major and minor, with several listed in the Red Book. While variety collecting for this series is not as widespread as the larger denominations, some rarer varieties trade at substantial premiums. The scarcest regular issue occurred in 1802 when a mintage of only 3,060 pieces was produced.

Capped Bust|Half Dime|1829|1837|Half Dimes, the smallest silver denomination authorized by the Mint Act of April 1792, were not struck from 1806 to 1828. During this time, circulation of virtually all United States federal coinage was sparse, and half dimes were of such small intrinsic value that they were not used for exportation. The need of minor silver coinage was mostly fulfilled by silver coins from around the world, most notably Mexico and South-American countries.  On July 4, 1829, coinage of the Capped Bust Half Dime commenced, coinciding with the opening of the second Philadelphia Mint. The new series of half dimes would be produced in reasonably significant quantities from 1829 to 1837, making completion of a set an approachable goal for collectors.^^^^When the Capped Bust Half Dime was introduced in 1829, all silver coins that were struck by the United States Mint featured the same basic design. The design had been introduced on the half dollars in 1807, where it saw its greatest use, but also was used on the quarter dollars starting in 1815, and dimes starting in 1828. While the design on all of these denominations varied slightly, each was based on the work by John Reich, with William Kneass modifying the designs at a later date. Because of their small size, the Capped Bust Half Dimes appear noticeably different than larger denominations.^^^^The obverse, modified by Kneass, featured the head of Liberty, facing left. She wears a Phrygian cap inscribed LIBERTY with long, curling hair beneath and a gown visible near the truncation, secured with a brooch. The date, slightly curved, is directly under the truncation of the bust and comes in various sizes. There are seven stars are before Liberty and six stars behind, for the traditional total of thirteen.^^^^The reverse featured a perched eagle, with its wings spread. A shield is placed at the eagle's breast and its talons hold an olive branch and bundle of arrows. The denomination, for the first time on these small silver coins, appears below as 5 C. The motto E PLURIBUS UNUM is on a scroll directly above the head of the eagle, and UNITED STATES OF AMERICA is spread from left to right wing tip in a curved fashion.

Liberty Seated|Half Dime|1837|1873|The Liberty Seated Half Dime was struck from 1837 to 1873. During the course of the series, there were numerous modifications to the design, which create an interesting array of subtypes. The end of the series represented the last production of silver half dimes. The denomination was replaced in commerce by the five cent nickel, which had been introduced in 1866.^^^^The obverse of the Seated Liberty Half Dime features a depiction of Liberty seated on a rock. She holds a pole in her right hand with a Phyrigian cap on top. Different subtypes of the series have the surrounding fields empty, with thirteen stars, or containing the inscription UNITED STATES OF AMERICA.^^^^The reverse of the coin features a wreath surrounding the denomination HALF DIME. For earlier subtypes, UNITED STATES OF AMERICA surrounds the wreath. For the coins with this inscription placed on the obverse, the wreath was enlarged and altered.^^^^Although this series is usually considered to be the easiest of the Liberty Seated type to complete, some issues are rare and challenging to locate in mint state grades. At the most extreme measure, the 1870-S half dime has a single example known to exist in all grades, even though none were reported to have been struck. While it usually is not considered to be part of a complete set of Seated Half Dimes it remains as one of the most famous rarities of all American coinage.



Shield|Nickel|1866|1883|The Shield type nickel was made possible by the Act of May 16, 1866. Its weight was set at 77-16/100 grains with the same composition as the nickel three-cent piece.

Liberty Head|Nickel|1883|1913|In 1883 the design was changed to the \"Liberty Head.\" This type first appeared without the word CENTS on the coin, merely a large letter V. These \"CENTS-less\" coins were goldplated by fraudsters and passed as $5 pieces. Later in that year the word CENTS was added.

Indian Head or Buffalo|Nickel|1913|1938|The Buffalo nickel was designed by James E!! Fraser, whose initial F is below the date. He modeled the bison after Black Diamond in New York Central Park Zoo.

Jefferson|Nickel|1938|0|This nickel was originally designed by Felix Schlag. He won an award of $1,000 in a competition with some 390 artists. It established the definite public approval of portrait and pictorial rather than symbolic devices on our coinage. On October 8, 1942, the wartime five-cent piece composed of copper (56%), silver (35%), and manganese (9%) was introduced to eliminate nickel, a critical war material. A larger mintmark was place above the dome. The letter P (Philadelphia) was used for the first time, indicating the change of alloy. The designer's initials FS were added below the bust starting in 1966. The mintmark position was moved to the obverse starting in 1968.



Silver - Trime|Three-Cent Piece|1851|1873|This smallest of United Stated silver coins was authorized by Congress March 3, 1851. The first three-cent silver pieces had no lines bordering the six-pointed star. From 1854 to 1858 there were two lines, while issues of the last 15 years show only one line. Issues from 1854 to 1873 have an olive sprig over the III and a bundle of three arrows beneath.

Nickel|Three-Cent Piece|1865|1889|The three-cent piece struck in nickel composition were designed to replace the silver three-cent coins. Composition is 75% copper and 25% nickel. All were coined at Philadelphia and have plain edges.


Two-Cent Piece|Two-Cent Piece|1864|1873|The Act of April 22, 1864, which changed the weight and composition of the cent, included a provision for the bronze two-cent piece. The weight was specified as 96 grains, the alloy being the same as for the cent. There are two varieties for the first year of issue, 1864: the Small Motto and the Large Motto.


